Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SMA-SMB_Universal_Handsoldering,22.0,-90.999,0.0,top
D10,D,D_SMA-SMB_Universal_Handsoldering,79.0,-77.499,0.0,top
D11,D,D_SMA-SMB_Universal_Handsoldering,79.0,-96.499,0.0,top
D12,D,D_SMA-SMB_Universal_Handsoldering,79.0,-115.499,0.0,top
D13,D,D_SMA-SMB_Universal_Handsoldering,98.0,-80.499,0.0,top
D14,D,D_SMA-SMB_Universal_Handsoldering,98.0,-99.499,0.0,top
D15,D,D_SMA-SMB_Universal_Handsoldering,98.0,-118.499,0.0,top
D16,D,D_SMA-SMB_Universal_Handsoldering,117.1,-142.999,0.0,top
D17,D,D_SMA-SMB_Universal_Handsoldering,117.0,-84.899,0.0,top
D18,D,D_SMA-SMB_Universal_Handsoldering,117.0,-103.899,0.0,top
D19,D,D_SMA-SMB_Universal_Handsoldering,117.0,-122.999,0.0,top
D2,D,D_SMA-SMB_Universal_Handsoldering,22.0,-109.999,0.0,top
D20,D,D_SMA-SMB_Universal_Handsoldering,137.0,-144.999,0.0,top
D21,D,D_SMA-SMB_Universal_Handsoldering,180.0,-84.899,0.0,top
D22,D,D_SMA-SMB_Universal_Handsoldering,180.0,-103.899,0.0,top
D23,D,D_SMA-SMB_Universal_Handsoldering,179.9,-122.899,0.0,top
D24,D,D_SMA-SMB_Universal_Handsoldering,199.0,-80.699,0.0,top
D25,D,D_SMA-SMB_Universal_Handsoldering,199.0,-99.699,0.0,top
D26,D,D_SMA-SMB_Universal_Handsoldering,199.0,-118.699,0.0,top
D27,D,D_SMA-SMB_Universal_Handsoldering,218.0,-77.299,0.0,top
D28,D,D_SMA-SMB_Universal_Handsoldering,218.0,-96.299,0.0,top
D29,D,D_SMA-SMB_Universal_Handsoldering,218.0,-115.299,0.0,top
D3,D,D_SMA-SMB_Universal_Handsoldering,22.0,-128.999,0.0,top
D30,D,D_SMA-SMB_Universal_Handsoldering,237.0,-83.899,0.0,top
D31,D,D_SMA-SMB_Universal_Handsoldering,237.0,-102.899,0.0,top
D32,D,D_SMA-SMB_Universal_Handsoldering,237.0,-121.899,0.0,top
D33,D,D_SMA-SMB_Universal_Handsoldering,256.12,-90.299,0.0,top
D34,D,D_SMA-SMB_Universal_Handsoldering,256.12,-109.299,0.0,top
D35,D,D_SMA-SMB_Universal_Handsoldering,256.12,-128.299,0.0,top
D36,D,D_SMA-SMB_Universal_Handsoldering,180.0,-142.999,0.0,top
D37,D,D_SMA-SMB_Universal_Handsoldering,275.0,-90.919,0.0,top
D38,D,D_SMA-SMB_Universal_Handsoldering,275.1,-110.019,0.0,top
D39,D,D_SMA-SMB_Universal_Handsoldering,274.95,-129.199,0.0,top
D4,D,D_SMA-SMB_Universal_Handsoldering,41.0,-89.999,0.0,top
D40,D,D_SMA-SMB_Universal_Handsoldering,160.0,-144.899,0.0,top
D5,D,D_SMA-SMB_Universal_Handsoldering,41.0,-108.999,0.0,top
D6,D,D_SMA-SMB_Universal_Handsoldering,41.0,-127.999,0.0,top
D7,D,D_SMA-SMB_Universal_Handsoldering,60.0,-83.899,0.0,top
D8,D,D_SMA-SMB_Universal_Handsoldering,60.0,-102.899,0.0,top
D9,D,D_SMA-SMB_Universal_Handsoldering,60.0,-121.899,0.0,top
U1,XIAO-RP2040-DIP,XIAO-RP2040-DIP,135.5,-99.6675,0.0,top
U2,XIAO-RP2040-DIP,XIAO-RP2040-DIP,161.5,-99.619,0.0,top
