Designator,Mid X,Mid Y,Rotation,Layer
C2,128.9,-104.2,180.0,top
C5,125.725,-102.8,180.0,top
D1,21.95,-88.75,0.0,top
D10,79.1,-76.15,0.0,top
D11,79.1,-95.2,0.0,top
D12,79.1,-114.25,0.0,top
D13,98.15,-79.2,0.0,top
D14,98.15,-98.25,0.0,top
D15,98.15,-117.3,0.0,top
D16,98.15,-140.73,0.0,top
D17,117.2,-83.59,0.0,top
D18,117.2,-102.64,0.0,top
D19,117.2,-121.69,0.0,top
D2,21.95,-107.8,0.0,top
D20,117.2,-144.24,0.0,top
D21,171.8,-83.59,0.0,top
D22,171.8,-102.638221,0.0,top
D23,171.8,-121.69,0.0,top
D24,190.85,-79.198221,0.0,top
D25,190.85,-98.247221,0.0,top
D26,190.85,-117.298221,0.0,top
D27,209.9,-76.148221,0.0,top
D28,209.9,-95.198221,0.0,top
D29,209.9,-114.247221,0.0,top
D3,21.949969,-126.849956,0.0,top
D30,228.95,-82.748221,0.0,top
D31,228.95,-101.798221,0.0,top
D32,228.95,-120.847221,0.0,top
D33,248.0,-88.75,0.0,top
D34,248.0,-107.799,0.0,top
D35,248.0,-126.85,0.0,top
D36,190.85,-140.74,0.0,top
D37,267.05,-88.75,0.0,top
D38,267.05,-107.8,0.0,top
D39,267.05,-126.85,0.0,top
D4,41.0,-88.75,0.0,top
D40,171.8,-144.24,0.0,top
D5,41.0,-107.801,0.0,top
D50,136.25,-138.57,0.0,top
D51,152.750122,-138.57005,0.0,top
D6,41.0,-126.85,0.0,top
D7,60.05,-82.75,0.0,top
D8,60.05,-101.8,0.0,top
D9,60.05,-120.849,0.0,top
H1,181.32,-122.97,0.0,top
H2,31.47,-90.02,0.0,top
H3,107.67,-122.97,0.0,top
H4,257.52,-90.018221,0.0,top
P3,135.71,-105.71,180.0,top
R1,128.9,-105.7,180.0,top
R2,128.9,-107.2,180.0,top
R3,128.89579,-108.706014,180.0,top
SW1,21.95,-83.1,0.0,top
SW10,79.1,-70.5,0.0,top
SW11,79.1,-89.55,0.0,top
SW12,79.1,-108.6,0.0,top
SW13,98.15,-73.55,0.0,top
SW14,98.15,-92.6,0.0,top
SW15,98.15,-111.65,0.0,top
SW16,98.15,-135.09,0.0,top
SW17,117.2,-77.94,0.0,top
SW18,117.2,-96.99,0.0,top
SW19,117.2,-116.04,0.0,top
SW2,21.95,-102.15,0.0,top
SW20,117.2,-138.59,0.0,top
SW21,171.8,-77.94,0.0,top
SW22,171.8,-96.988221,0.0,top
SW23,171.8,-116.04,0.0,top
SW24,190.85,-73.548221,0.0,top
SW25,190.85,-92.597221,0.0,top
SW26,190.85,-111.648221,0.0,top
SW27,209.9,-70.498221,0.0,top
SW28,209.9,-89.548221,0.0,top
SW29,209.9,-108.597221,0.0,top
SW3,21.949969,-121.199956,0.0,top
SW30,228.95,-77.098221,0.0,top
SW31,228.95,-96.148221,0.0,top
SW32,228.95,-115.197221,0.0,top
SW33,248.0,-83.1,0.0,top
SW34,248.0,-102.149,0.0,top
SW35,248.0,-121.2,0.0,top
SW36,190.85,-135.09,0.0,top
SW37,267.05,-83.1,0.0,top
SW38,267.05,-102.15,0.0,top
SW39,267.05,-121.2,0.0,top
SW4,41.0,-83.1,0.0,top
SW40,171.8,-138.59,0.0,top
SW41,126.15,-105.425,90.0,top
SW5,41.0,-102.151,0.0,top
SW50,136.25,-132.92,0.0,top
SW51,152.750122,-132.92005,0.0,top
SW6,41.0,-121.2,0.0,top
SW7,60.05,-77.1,0.0,top
SW8,60.05,-96.15,0.0,top
SW9,60.05,-115.199,0.0,top
TP1,125.68,-129.75,90.0,top
TP2,125.68,-132.75,90.0,top
TP3,125.68,-135.75,90.0,top
TP4,125.68,-126.75,90.0,top
U1,127.275,-118.1,0.0,top
USB1,135.5975,-116.275,90.0,top
USB2,153.3925,-116.245,270.0,top
