Designator,Footprint,Quantity,Value,LCSC Part #
C2,0603,1,100nF,
C5,0805,1,4.7uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D50, D6, D7, D8, D9",D_SOD-123,21,D,
P3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Plug_USB2.0,
"R1, R2",0603,2,5.1kO,
R3,0603,1,1kO,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW3, SW4, SW5, SW50, SW6, SW7, SW8, SW9",SW_choc_v1_1u,21,SW_Push,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint,
U1,WQFN-28-1EP_4x4mm_P0.4mm_EP2.7x2.7mm,1,CH32X035DS0,
USB1,USB-C-SMD_TYPE-C-24P-QT,1,TYPEC-24PIN_C53207800,C53207800
