Designator,Mid X,Mid Y,Rotation,Layer
C2,126.65,-104.6,180.0,top
C5,126.475,-102.75,180.0,top
D1,21.95,-88.75,0.0,top
D10,79.1,-76.15,0.0,top
D11,79.1,-95.2,0.0,top
D12,79.1,-114.25,0.0,top
D13,98.15,-79.2,0.0,top
D14,98.15,-98.25,0.0,top
D15,98.15,-117.3,0.0,top
D16,98.15,-140.73,0.0,top
D17,117.2,-83.59,0.0,top
D18,117.2,-102.64,0.0,top
D19,117.2,-121.69,0.0,top
D2,21.95,-107.8,0.0,top
D20,117.2,-144.24,0.0,top
D3,21.949969,-126.849956,0.0,top
D4,41.0,-88.75,0.0,top
D5,41.0,-107.801,0.0,top
D50,136.25,-138.57,0.0,top
D6,41.0,-126.85,0.0,top
D7,60.05,-82.75,0.0,top
D8,60.05,-101.8,0.0,top
D9,60.05,-120.849,0.0,top
H2,31.47,-90.02,0.0,top
H3,107.67,-122.97,0.0,top
P3,137.29,-105.95,180.0,top
R1,130.25,-103.35,180.0,top
R2,130.25,-105.0,180.0,top
R3,120.6,-84.9,90.0,top
SW1,21.95,-83.1,0.0,top
SW10,79.1,-70.5,0.0,top
SW11,79.1,-89.55,0.0,top
SW12,79.1,-108.6,0.0,top
SW13,98.15,-73.55,0.0,top
SW14,98.15,-92.6,0.0,top
SW15,98.15,-111.65,0.0,top
SW16,98.15,-135.09,0.0,top
SW17,117.2,-77.94,0.0,top
SW18,117.2,-96.99,0.0,top
SW19,117.2,-116.04,0.0,top
SW2,21.95,-102.15,0.0,top
SW20,117.2,-138.59,0.0,top
SW3,21.949969,-121.199956,0.0,top
SW4,41.0,-83.1,0.0,top
SW41,122.75,-84.925,270.0,top
SW5,41.0,-102.151,0.0,top
SW50,136.25,-132.92,0.0,top
SW6,41.0,-121.2,0.0,top
SW7,60.05,-77.1,0.0,top
SW8,60.05,-96.15,0.0,top
SW9,60.05,-115.199,0.0,top
TP1,68.5,-108.0,90.0,top
TP2,68.5,-111.0,90.0,top
TP3,68.5,-114.0,90.0,top
TP4,68.5,-105.0,90.0,top
U1,128.25,-112.2875,270.0,top
USB1,135.5975,-116.275,90.0,top
