Designator,Mid X,Mid Y,Rotation,Layer
D1,22.0,-90.999,0.0,top
D10,79.0,-77.499,0.0,top
D11,79.0,-96.499,0.0,top
D12,79.0,-115.499,0.0,top
D13,98.0,-80.499,0.0,top
D14,98.0,-99.499,0.0,top
D15,98.0,-118.499,0.0,top
D16,100.0,-142.0,0.0,top
D17,117.0,-84.899,0.0,top
D18,117.0,-103.899,0.0,top
D19,117.0,-122.999,0.0,top
D2,22.0,-109.999,0.0,top
D20,118.5,-145.1,0.0,top
D21,178.156441,-84.899,0.0,top
D22,178.156441,-103.899,0.0,top
D23,178.056441,-122.899,0.0,top
D24,197.156441,-80.699,0.0,top
D25,197.156441,-99.699,0.0,top
D26,197.156441,-118.699,0.0,top
D27,216.156441,-77.299,0.0,top
D28,216.156441,-96.299,0.0,top
D29,216.156441,-115.299,0.0,top
D3,22.0,-128.999,0.0,top
D30,235.156441,-83.899,0.0,top
D31,235.156441,-102.899,0.0,top
D32,235.156441,-121.899,0.0,top
D33,254.276441,-90.299,0.0,top
D34,254.276441,-109.299,0.0,top
D35,254.276441,-128.299,0.0,top
D36,195.656441,-142.0,0.0,top
D37,273.156441,-90.919,0.0,top
D38,273.256441,-110.019,0.0,top
D39,273.106441,-129.199,0.0,top
D4,41.0,-89.999,0.0,top
D40,176.656441,-145.0,0.0,top
D5,41.0,-108.999,0.0,top
D50,137.5,-139.5,0.0,top
D51,157.656441,-139.5,0.0,top
D6,41.0,-127.999,0.0,top
D7,60.0,-83.899,0.0,top
D8,60.0,-102.899,0.0,top
D9,60.0,-121.899,0.0,top
H1,209.656441,-127.5,0.0,top
H2,85.5,-127.5,0.0,top
H3,47.0,-67.5,0.0,top
H4,248.156441,-67.5,0.0,top
P1,140.5,-115.5,90.0,top
P2,154.895,-115.5,270.0,top
R1,142.5,-122.0,0.0,top
SW1,22.0,-84.099,0.0,top
SW10,79.0,-70.599,0.0,top
SW11,79.0,-89.599,0.0,top
SW12,79.0,-108.599,0.0,top
SW13,98.0,-73.699,0.0,top
SW14,98.0,-92.699,0.0,top
SW15,98.0,-111.699,0.0,top
SW16,99.5,-135.1,0.0,top
SW17,117.0,-78.099,0.0,top
SW18,117.0,-97.099,0.0,top
SW19,117.0,-116.099,0.0,top
SW2,22.0,-103.1,0.0,top
SW20,118.5,-138.2,0.0,top
SW21,178.156441,-78.099,0.0,top
SW22,178.156441,-97.099,0.0,top
SW23,178.156441,-116.099,0.0,top
SW24,197.156441,-73.599,0.0,top
SW25,197.156441,-92.599,0.0,top
SW26,197.156441,-111.599,0.0,top
SW27,216.156441,-70.599,0.0,top
SW28,216.156441,-89.399,0.0,top
SW29,216.156441,-108.399,0.0,top
SW3,22.0,-122.1,0.0,top
SW30,235.156441,-77.099,0.0,top
SW31,235.156441,-95.999,0.0,top
SW32,235.156441,-114.999,0.0,top
SW33,254.276441,-83.199,0.0,top
SW34,254.276441,-102.199,0.0,top
SW35,254.276441,-121.199,0.0,top
SW36,195.656441,-135.2,0.0,top
SW37,273.276441,-84.199,0.0,top
SW38,273.256441,-103.299,0.0,top
SW39,273.256441,-122.399,0.0,top
SW4,41.0,-83.199,0.0,top
SW40,176.656441,-138.2,0.0,top
SW5,41.0,-102.199,0.0,top
SW50,137.5,-132.6,0.0,top
SW51,157.656441,-132.8,0.0,top
SW6,41.0,-121.299,0.0,top
SW7,60.0,-77.099,0.0,top
SW8,60.0,-96.099,0.0,top
SW9,60.0,-115.099,0.0,top
U1,135.5,-99.6675,0.0,top
U2,159.656441,-99.619,0.0,top
